pair_id,original_drug_id,original_drug_name,side,atc_code,alternative_drug_id,alternative_drug_name,source_url,scraped_at
951846,DDInter14,Acetaminophen,B,L04A,DDInter1668,Siltuximab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1676,Siponimod,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1806,Tildrakizumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1824,Tocilizumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1825,Tofacitinib,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L01B,DDInter1868,Trifluridine,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1901,Upadacitinib,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1907,Ustekinumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter1923,Vedolizumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter239,Brivaracetam,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter674,Eslicarbazepine,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter695,Ethosuximide,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter708,Ezogabine,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter715,Felbamate,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter1014,Lacosamide,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter1181,Methsuximide,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter1392,Paramethadione,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter1428,Perampanel,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter1437,Phenacemide,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter1446,Phensuximide,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter1627,Rufinamide,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter1711,Stiripentol,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter1871,Trimethadione,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter14,Acetaminophen,A,N03A,DDInter1933,Vigabatrin,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter1460,Phenytoin,B,N02B,DDInter551,Diflunisal,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter1460,Phenytoin,B,N02B,DDInter1179,Methoxyflurane,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter1460,Phenytoin,B,N02A,DDInter1262,Naloxone,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951859,DDInter1460,Phenytoin,B,N02B,DDInter1634,Salicylic acid (topical),https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951871,DDInter14,Acetaminophen,A,N02B,DDInter370,Choline salicylate,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02A,DDInter528,Dextropropoxyphene,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02A,DDInter531,Dezocine,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02B,DDInter551,Diflunisal,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02A,DDInter1150,Meperidine,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02A,DDInter1245,Morphine (liposomal),https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02A,DDInter1257,Nalbuphine,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02A,DDInter1262,Naloxone,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02A,DDInter1344,Opium,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02A,DDInter1421,Pentazocine,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02B,DDInter1633,Salicylic acid (sodium),https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02B,DDInter1634,Salicylic acid (topical),https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02B,DDInter1637,Salsalate,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02A,DDInter1746,Tapentadol,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter14,Acetaminophen,A,N02B,DDInter1960,Ziconotide,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter1590,Rifampicin,B,J04A,DDInter75,Aminosalicylic acid,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter1590,Rifampicin,B,J04A,DDInter288,Capreomycin,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter1590,Rifampicin,B,J04A,DDInter457,Cycloserine,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter1590,Rifampicin,B,J04A,DDInter694,Ethionamide,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter1590,Rifampicin,B,J04A,DDInter1549,Pyridoxine,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter1590,Rifampicin,B,J04A,DDInter1589,Rifabutin,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter1590,Rifampicin,B,J04A,DDInter1591,Rifamycin,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter1590,Rifampicin,B,J04A,DDInter1592,Rifapentine,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter1590,Rifampicin,B,J04A,DDInter1713,Streptomycin,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951871,DDInter1590,Rifampicin,B,J04A,DDInter1724,Sulfamethoxazole,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951890,DDInter14,Acetaminophen,A,N02A,DDInter429,Codeine,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter14,Acetaminophen,A,N02A,DDInter531,Dezocine,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter14,Acetaminophen,A,N02A,DDInter556,Dihydrocodeine,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter14,Acetaminophen,A,N02B,DDInter1179,Methoxyflurane,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter14,Acetaminophen,A,N02A,DDInter1245,Morphine (liposomal),https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter14,Acetaminophen,A,N02A,DDInter1263,Naltrexone,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter14,Acetaminophen,A,N02A,DDInter1344,Opium,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter14,Acetaminophen,A,N02B,DDInter1634,Salicylic acid (topical),https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter14,Acetaminophen,A,N02A,DDInter1746,Tapentadol,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter14,Acetaminophen,A,N02B,DDInter1960,Ziconotide,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter6,Abciximab,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter56,Alteplase,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter99,Anistreplase,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter105,Antithrombin III human,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter108,Apixaban,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter200,Betrixaban,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter217,Bivalirudin,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter283,Cangrelor,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter286,Caplacizumab,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter379,Cilostazol,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter470,Dalteparin,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter471,Danaparoid,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter491,Defibrotide,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter505,Desirudin,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter605,Drotrecogin alfa,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
